_id,YEAR,CATEGORY,TYPE,COUNT_
247,2017,Gun Seizures,Crime,722
248,2017,Gun Seizures,Non-Crime,1003
249,2017,Crime Guns - Type,Pistol,233
250,2017,Crime Guns - Type,Air Gun,216
251,2017,Crime Guns - Type,Revolver,75
252,2017,Crime Guns - Type,Rifle,73
253,2017,Crime Guns - Type,Shotgun,43
254,2017,Crime Guns - Type,Other,26
255,2017,Crime Guns - Type,Sawed-off Shotgun,22
256,2017,Crime Guns - Type,Toy Gun,10
257,2017,Crime Guns - Type,Antique,7
258,2017,Crime Guns - Type,Commercial Version,6
259,2017,Crime Guns - Type,Sawed-off Rifle,5
260,2017,Crime Guns - Type,Starter's Pistol,4
261,2017,Crime Guns - Type,Derringer,2
262,2017,Crime Guns - Class,Prohibited,233
263,2017,Crime Guns - Class,Deemed Non-Firearm,246
264,2017,Crime Guns - Class,Restricted,138
265,2017,Crime Guns - Class,Non-Restricted,98
266,2017,Crime Guns - Class,Antique,7
267,2017,Recovered Firearms,Toronto,3
268,2017,Recovered Firearms,Outside Toronto,36
269,2017,Firearm Types Stolen & Recovered,Handgun,8
270,2019,Guns Reported Stolen to TPS,Handgun,25
271,2019,Guns Reported Stolen to TPS,Shotgun,6
272,2019,Guns Reported Stolen to TPS,Rifle,15
273,2019,Firearm Thefts - Premise Type,Residential,6
274,2019,Firearm Thefts - Premise Type,Vehicle,5
275,2019,Firearm Thefts - Premise Type,Commercial,2
276,2019,Firearm Thefts - Premise Type,Commercial Storage Facility,2
277,2019,Firearm Thefts - Premise Type,Residential Storage Unit,2
278,2019,Gun Seizures,Crime,693
279,2019,Gun Seizures,Non-Crime,4390
280,2019,Crime Guns - Type,Pistol,402
281,2019,Crime Guns - Type,Air Gun,103
282,2019,Crime Guns - Type,Rifle,50
283,2019,Crime Guns - Type,Revolver,47
284,2019,Crime Guns - Type,Shotgun,25
285,2019,Crime Guns - Type,Sawed-off Shotgun,18
286,2019,Crime Guns - Type,Other,15
287,2019,Crime Guns - Type,Toy Gun,11
288,2019,Crime Guns - Type,Sawed-off Rifle,7
289,2019,Crime Guns - Type,Antique,7
290,2019,Crime Guns - Type,Derringer,2
291,2019,Crime Guns - Type,Submachine Gun,1
292,2019,Crime Guns - Type,Starter's Pistol,4
293,2019,Crime Guns - Type,Replica,1
294,2019,Crime Guns - Class,Prohibited,331
295,2019,Crime Guns - Class,Deemed Non-Firearm,129
296,2019,Crime Guns - Class,Restricted,155
297,2019,Crime Guns - Class,Non-Restricted,71
298,2019,Crime Guns - Class,Antique,7
299,2019,Recovered Firearms,Toronto,6
300,2019,Recovered Firearms,Outside Toronto,41
301,2020,Recovered Firearms,Outside Toronto,25
302,2020,Firearm Types Stolen & Recovered,Pistol,20
303,2020,Firearm Types Stolen & Recovered,Revolver,6
304,2020,Firearm Types Stolen & Recovered,Rifle,3
305,2020,Firearm Types Stolen & Recovered,Shotgun,3
306,2021,Firearms Seized,Air Gun,570
307,2021,Firearms Seized,Pistol,833
308,2021,Firearms Seized,Rifle,522
309,2021,Firearms Seized,Shotgun,251
310,2021,Firearms Seized,Revolver,201
311,2021,Firearms Seized,Other,31
312,2021,Firearms Seized,Toy Gun,36
313,2021,Firearms Seized,Sawed-Off Shotgun,12
314,2021,Firearms Seized,Starter's Pistol,36
315,2021,Firearms Seized,Antique,5
316,2021,Firearms Seized,Sawed-off Rifle,6
317,2021,Firearms Seized,Replica,20
318,2021,Firearms Seized,Derringer,
319,2021,Firearms Seized,Commercial Version,18
320,2021,Firearms Seized,Submachine Gun,7
321,2021,Firearms Seized,Machine Gun,1
322,2021,Firearms Seized,Combination Gun,2
323,2021,Guns Reported Stolen to TPS,Air Gun,17
324,2021,Guns Reported Stolen to TPS,Handgun,22
325,2021,Guns Reported Stolen to TPS,Shotgun,
326,2021,Guns Reported Stolen to TPS,Rifle,3
327,2021,Firearm Thefts - Premise Type,Residential,4
328,2021,Firearm Thefts - Premise Type,Vehicle,4
329,2021,Firearm Thefts - Premise Type,Commercial,7
330,2021,Firearm Thefts - Premise Type,School,
331,2021,Gun Seizures,Crime,635
332,2021,Gun Seizures,Non-Crime,1916
333,2021,Crime Guns - Type,Pistol,412
334,2021,Crime Guns - Type,Air Gun,87
335,2021,Crime Guns - Type,Rifle,43
336,2021,Crime Guns - Type,Revolver,32
337,2021,Crime Guns - Type,Shotgun,30
338,2021,Crime Guns - Type,Sawed-off Shotgun,11
339,2021,Crime Guns - Type,Other,1
340,2021,Crime Guns - Type,Toy Gun,3
341,2021,Crime Guns - Type,Sawed-off Rifle,6
342,2021,Crime Guns - Type,Antique,1
343,2021,Crime Guns - Type,Derringer,
344,2021,Crime Guns - Type,Submachine Gun,
345,2021,Crime Guns - Type,Starter's Pistol,6
346,2021,Crime Guns - Type,Commercial Version,2
347,2021,Crime Guns - Type,Replica,1
348,2021,Crime Guns - Class,Prohibited,325
349,2021,Crime Guns - Class,Deemed Non-Firearm,97
350,2021,Crime Guns - Class,Restricted,146
351,2017,Firearm Types Stolen & Recovered,Rifle,4
352,2017,Firearm Types Stolen & Recovered,Shotgun,4
353,2017,Firearm Types Stolen & Recovered,Air Gun,19
354,2017,Firearm Types Stolen & Recovered,Starter's Pistol,1
355,2018,Firearms Seized,Air Gun,650
356,2018,Firearms Seized,Pistol,620
357,2018,Firearms Seized,Rifle,469
358,2018,Firearms Seized,Shotgun,253
359,2018,Firearms Seized,Revolver,121
360,2018,Firearms Seized,Other,60
361,2018,Firearms Seized,Toy Gun,33
362,2018,Firearms Seized,Sawed-off Shotgun,29
363,2018,Firearms Seized,Starter's Pistol,20
364,2018,Firearms Seized,Antique,16
365,2018,Firearms Seized,Sawed-off Rifle,14
366,2018,Firearms Seized,Replica,8
367,2018,Firearms Seized,Derringer,4
368,2018,Firearms Seized,Commercial Version,2
369,2018,Firearms Seized,Submachine Gun ,1
